period,evaluation_scope,config_id,train_horizon,policy,qualified,preferred90,gate_shortfall,min_cell_coverage,min_cell_lift,min_cell_forward_delta_bps,mean_brier,cells,passed_cells,rank
retrospective_2024_2026,KZT,tabm_kzt,5,cadence80,False,False,0.08823529411764706,0.5882352941176471,1.368421052631579,44.95737221465642,0.17455381564184694,3,2,33
retrospective_2024_2026,KZT,tabm_kzt,3,cadence80,False,False,0.0947712418300654,0.6274509803921569,1.3559701492537315,56.34101639766196,0.17962263279766724,3,1,34
retrospective_2024_2026,KZT,tabm_pooled,5,rank90,False,False,0.11579664451936589,0.8627450980392157,1.0680359435173299,23.144280268865682,0.18899209630182137,3,1,35
retrospective_2024_2026,KZT,tabm_kzt,3,cadence85,False,False,0.12014712760981419,0.6666666666666666,1.0480928689883915,22.505258186812277,0.17962263279766724,3,1,36
retrospective_2024_2026,KZT,tabm_kzt,3,strict05,False,False,0.2520796197266786,0.47058823529411764,1.680640243902439,67.25729252197465,0.17962263279766724,3,0,37
retrospective_2024_2026,KZT,v3,3,strict05,False,False,0.3033273915626858,0.39215686274509803,1.3117192147531231,18.93670041250858,0.20432305184650904,3,0,38
retrospective_2024_2026,KZT,tabm_pooled,3,strict05,False,False,0.33229352346999413,0.37254901960784315,1.5322076297686056,49.73581085901351,0.19225708838288078,3,0,39
retrospective_2024_2026,KZT,tabm_kzt,5,strict05,False,False,0.5617944147355912,0.1568627450980392,1.644923076923077,74.29132526519085,0.17455381564184694,3,0,40
retrospective_2024_2026,KZT,v3,5,strict05,False,False,0.5818478906714201,0.12121212121212122,1.6421052631578947,83.33196523186047,0.19467076379292578,3,0,41
retrospective_2024_2026,KZT,tabm_pooled,5,strict05,False,False,0.6611367343150774,0.058823529411764705,1.2891246684350133,34.507372655419466,0.18899209630182137,3,0,42
