date,unique_authors,category:bank_blocks_compliance,category:benchmark_reference,category:cash_atm,category:crossborder_howto,category:crypto,category:exchange_intent,category:family_support,category:fees_cost,category:partial_fill,category:rate_information,category:rent_study_medical,category:salary_income,category:successful_close,category:timing_forecast,category:trust_safety,category:urgency,category:willing_to_wait,direction:kzt_to_rub,direction:need_eur,direction:need_kzt_offer_unknown,direction:need_rub_offer_unknown,direction:rub_to_kzt,direction:unclassified,events,explicit_rates,messages,probable_listings,strict_listings,text_messages,kzt_per_rub,market_return_1d,market_abs_return_1d,market_90d_percentile,strict_listing_share,rate_information_share,timing_forecast_share,urgency_share_in_strict,rub_to_kzt_share_classified,direction_net
2024-08-29,93,7,0,17,14,12,2,2,13,2,22,1,4,2,4,11,0,0,0,0,0,0,0,0,700,0,700,0,0,691,5.276717187129134,0.0033154895700175935,0.0033154895700175935,0.36666666666666664,0.0,0.03142857142857143,0.005714285714285714,,,
2024-08-30,92,4,0,14,15,5,0,2,7,0,15,2,1,4,2,11,0,1,0,0,0,0,0,4,316,0,316,4,4,308,5.320478523907694,0.008293288275009525,0.008293288275009525,0.4,0.012658227848101266,0.04746835443037975,0.006329113924050633,0.0,,
2024-08-31,78,0,0,10,11,4,0,0,8,2,14,0,2,1,4,8,5,1,0,0,0,0,0,0,326,0,326,1,0,322,5.3282684703345184,0.0014641439471694273,0.0014641439471694273,0.4,0.0,0.04294478527607362,0.012269938650306749,,,
2024-09-01,73,3,0,8,11,12,0,0,14,0,10,1,4,2,0,6,0,1,0,0,0,0,0,0,344,0,344,0,0,338,5.267473470479936,-0.01140989801716319,0.01140989801716319,0.3,0.0,0.029069767441860465,0.0,,,
2024-09-02,112,1,1,11,15,10,2,3,4,0,14,2,6,1,2,13,0,2,0,0,0,0,0,1,538,0,538,1,1,526,5.375995535755451,0.020602299353512876,0.020602299353512876,0.5111111111111111,0.0018587360594795538,0.026022304832713755,0.0037174721189591076,0.0,,
2024-09-03,111,6,1,30,12,7,1,0,18,0,32,2,6,2,6,12,2,3,0,0,1,0,0,0,560,0,560,1,1,553,5.501477192431579,0.023341101353517857,0.023341101353517857,0.7777777777777778,0.0017857142857142857,0.05714285714285714,0.010714285714285714,2.0,1.0,1.0
2024-09-04,106,2,3,22,10,0,0,2,15,0,19,6,9,2,6,6,1,1,0,0,0,0,0,0,417,0,417,0,0,414,5.511668770368355,0.00185251662059005,0.00185251662059005,0.8333333333333334,0.0,0.045563549160671464,0.014388489208633094,,,
2024-09-05,96,0,5,26,11,0,0,2,14,0,24,1,3,2,2,6,1,2,0,0,0,0,0,0,377,0,377,1,0,373,5.462272751986332,-0.008962080349890433,0.008962080349890433,0.6888888888888889,0.0,0.0636604774535809,0.005305039787798408,,,
2024-09-06,106,8,0,13,14,6,0,4,9,0,14,6,5,6,1,12,2,3,0,0,0,0,1,1,414,0,414,2,2,412,5.338688345647189,-0.022625088850460995,0.022625088850460995,0.36666666666666664,0.004830917874396135,0.033816425120772944,0.0024154589371980675,1.0,1.0,1.0
2024-09-07,88,0,0,9,9,10,1,2,10,3,11,1,0,2,5,9,0,1,0,0,0,0,0,1,338,0,338,1,1,335,5.338688345647189,0.0,0.0,0.36666666666666664,0.0029585798816568047,0.03254437869822485,0.014792899408284023,0.0,,
2024-09-08,81,4,0,14,9,9,0,1,7,1,15,6,3,2,6,10,0,0,0,0,0,0,0,1,362,0,362,2,1,345,5.330744593163306,-0.0014879595828739545,0.0014879595828739545,0.3333333333333333,0.0027624309392265192,0.04143646408839779,0.016574585635359115,0.0,,
2024-09-09,107,3,2,18,13,4,1,0,14,0,9,2,2,0,1,4,2,2,0,0,0,0,0,2,307,0,307,4,2,306,5.29064887738139,-0.00752159760821014,0.00752159760821014,0.26666666666666666,0.006514657980456026,0.029315960912052116,0.003257328990228013,1.0,,
2024-09-10,105,3,0,11,9,2,1,0,13,0,12,1,9,1,1,3,1,1,0,0,0,0,0,0,368,0,368,0,0,359,5.247902677695849,-0.00807957599837894,0.00807957599837894,0.13333333333333333,0.0,0.03260869565217391,0.002717391304347826,,,
2024-09-11,88,9,1,18,16,10,3,3,27,2,24,6,5,2,1,16,1,0,0,0,0,0,0,1,418,0,418,3,1,414,5.215700603857619,-0.006136179692335375,0.006136179692335375,0.06666666666666667,0.0023923444976076554,0.05741626794258373,0.0023923444976076554,1.0,,
2024-09-12,88,3,0,17,16,1,0,11,19,1,11,6,3,2,3,4,0,0,0,0,0,0,0,1,424,0,424,1,1,423,5.377647901228179,0.031049960431160706,0.031049960431160706,0.5,0.0023584905660377358,0.025943396226415096,0.007075471698113208,0.0,,
2024-09-13,94,4,3,12,20,6,0,3,19,1,27,2,0,2,3,9,0,0,0,0,0,0,0,2,453,0,453,2,2,447,5.33905127345934,-0.007177232217085772,0.007177232217085772,0.35555555555555557,0.004415011037527594,0.059602649006622516,0.006622516556291391,0.0,,
2024-09-14,75,1,2,14,4,15,1,7,6,0,5,5,5,1,2,6,1,0,0,0,0,0,0,0,360,0,360,0,0,349,5.340112689826298,0.00019880242998127073,0.00019880242998127073,0.35555555555555557,0.0,0.013888888888888888,0.005555555555555556,,,
2024-09-15,69,1,1,26,10,6,0,0,8,0,28,4,1,0,4,8,1,1,0,0,0,0,0,0,332,0,332,0,0,329,5.302078931493197,-0.007122276352999224,0.007122276352999224,0.24444444444444444,0.0,0.08433734939759036,0.012048192771084338,,,
2024-09-16,97,3,0,13,10,8,3,4,15,1,12,4,0,3,4,24,0,3,0,0,1,0,0,2,444,0,444,4,3,437,5.263621217688128,-0.007253327289535205,0.007253327289535205,0.16666666666666666,0.006756756756756757,0.02702702702702703,0.009009009009009009,0.0,1.0,1.0
2024-09-17,101,7,0,20,9,10,0,0,12,0,8,5,1,2,1,19,0,0,0,0,0,0,0,1,438,0,438,1,1,433,5.2534883951452835,-0.0019250668168889762,0.0019250668168889762,0.12222222222222222,0.00228310502283105,0.0182648401826484,0.00228310502283105,0.0,,
2024-09-18,69,3,0,20,9,2,0,1,10,1,19,4,1,4,6,10,0,3,0,0,0,0,0,7,452,0,452,8,7,442,5.132863165729807,-0.022960977610028688,0.022960977610028688,0.011111111111111112,0.015486725663716814,0.0420353982300885,0.01327433628318584,0.0,,
2024-09-19,87,12,0,14,8,13,0,2,14,1,11,2,6,3,0,13,0,0,0,0,0,0,0,3,415,0,415,3,3,412,5.203118836397836,0.013687423256692144,0.013687423256692144,0.022222222222222223,0.007228915662650603,0.02650602409638554,0.0,0.0,,
2024-09-20,73,0,0,15,8,1,2,0,15,0,9,2,4,0,3,7,0,3,0,0,0,0,0,2,315,0,315,2,2,313,5.199252446230585,-0.0007430908823768956,0.0007430908823768956,0.022222222222222223,0.006349206349206349,0.02857142857142857,0.009523809523809525,0.0,,
2024-09-21,49,2,0,9,4,3,0,0,17,0,15,1,1,0,2,11,2,0,0,0,0,0,0,5,238,0,238,5,5,231,5.199252446230585,0.0,0.0,0.03333333333333333,0.02100840336134454,0.06302521008403361,0.008403361344537815,0.4,,
