stage,scope,config_id,date_first,date_last,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
jan2026_retrospective,KZT,synth_kzt_no_oxr,2026-01-13,2026-08-25,34.0,0.4411764705882353,1.2074303405572757,32.09992321684652,26.234021854222203,97.54501536265549,0.24258651752389568,0.7028041127044841,0.6349459507354244,0.15899683703299908,156,156,1.0577777777777777,0.967741935483871,0.967741935483871
jan2026_retrospective,KZT,synth_no_oxr,2026-01-13,2026-08-25,34.0,0.4411764705882353,1.2074303405572757,32.09992321684652,26.234021854222203,97.54501536265549,0.23578668647897552,0.6845285848173683,0.6349459507354244,0.13669115708665566,156,156,1.0577777777777777,0.967741935483871,0.967741935483871
jan2026_retrospective,KZT,v3_long,2026-01-13,2026-08-25,34.0,0.4411764705882353,1.2074303405572757,31.60429895654539,24.91316675540188,96.84326071695753,0.2349803479118283,0.6823821056094926,0.633351054403686,0.13264708194167982,156,156,1.0577777777777777,0.967741935483871,0.967741935483871
march2026_retrospective,all,small_basis2010_D2,2026-03-03,2026-08-25,143.0,0.4195804195804196,1.09992486851991,14.61467887876406,13.709004559679448,104.20349864048704,0.24480999390319896,0.704121824185045,0.6270306576655548,0.1332222117311048,610,122,1.1375,0.9583333333333334,0.9916666666666666
march2026_retrospective,all,small_no_oxr,2026-03-03,2026-08-25,138.0,0.43478260869565216,1.1408977556109725,21.637863338361264,18.952162436010052,97.15232659771067,0.24388664959944728,0.7014226778887914,0.6288009016290799,0.13023786009489666,610,122,1.0977272727272729,0.875,0.9666666666666666
march2026_retrospective,all,synth_availability2010_D2,2026-03-03,2026-08-25,141.0,0.425531914893617,1.1163641909409794,18.959278798750713,16.718544751508556,96.34707995626133,0.23246181780112565,0.6654085840953179,0.6642114730023565,0.13170325656024603,610,122,1.121590909090909,0.9583333333333334,0.9916666666666666
march2026_retrospective,all,synth_basis2010_D2,2026-03-03,2026-08-25,141.0,0.4326241134751773,1.1349702607899956,18.773248909695603,15.882425156435215,97.19476412990664,0.23249461475136704,0.6659381743549567,0.6618150977334047,0.14011938596155488,610,122,1.121590909090909,0.9583333333333334,0.9833333333333334
march2026_retrospective,all,synth_basis2010_D3,2026-03-03,2026-08-25,143.0,0.40559440559440557,1.0629412648340093,15.629059101878356,13.974436818672803,98.75602440490762,0.23250227694818384,0.6652319207421631,0.6634145786136315,0.13421906997521385,610,122,1.1375,0.9583333333333334,0.9916666666666666
march2026_retrospective,all,synth_basis2018_D2,2026-03-03,2026-08-25,142.0,0.4154929577464789,1.0891208957482221,15.136272169165263,13.265151131576554,99.97345955797198,0.2332147539802075,0.668008661616668,0.6586958254118236,0.13723039191003156,610,122,1.1295454545454546,0.9583333333333334,0.9916666666666666
march2026_retrospective,all,synth_full2010_D2,2026-03-03,2026-08-25,143.0,0.4125874125874126,1.080618525746885,15.130116906690498,14.703082253368356,99.33102373127822,0.23228868311448825,0.6663330990860762,0.6599765485365604,0.1314479183569265,610,122,1.1375,1.0,1.0
