config_id,cutoff,scope,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
synth_full2010_D3,2024-01-01,all,223.0,0.4663677130044843,1.4020527045769762,35.313437991267755,18.274453452139753,83.5612498611443,0.19132811215693762,0.565527885940118,0.732728242645938,0.04861621193914415,1215,243,0.892,0.8163265306122449,0.8571428571428571
synth_full2010_D3,2024-01-01,KZT,47.0,0.3617021276595745,1.3522094926350245,27.224504112942217,17.12121220334969,106.52736061537898,0.18701398970743652,0.5574566827066272,0.6845289541918755,0.0690652129074212,243,243,0.94,0.9183673469387755,0.9183673469387755
synth_full2010_D3,2025-01-01,all,221.0,0.38009049773755654,1.7238805970149254,69.90436501598681,51.27431366769835,90.21945740059391,0.1633675813667311,0.49683494435711884,0.6934495516050322,0.059988594396578825,1210,242,0.8865329512893984,0.7142857142857143,0.8163265306122449
synth_full2010_D3,2025-01-01,KZT,52.0,0.3269230769230769,1.6482371794871793,35.40895447192122,29.061895990202775,124.75624940926888,0.1567302642865314,0.4816690660001808,0.6893792955326461,0.06413986274627557,242,242,1.0429799426934099,0.9387755102040817,0.9387755102040817
synth_kzt_basis2010_D2,2023-01-01,KZT,57.0,0.47368421052631576,1.2879952690715553,28.548017232953146,24.425537266848213,89.79720011103059,0.19575629707124273,0.5764467340127505,0.7384519350811486,0.0821650401222273,242,242,1.146551724137931,0.9791666666666666,0.9791666666666666
synth_kzt_basis2010_D2,2024-01-01,KZT,46.0,0.34782608695652173,1.300334448160535,17.28771153937543,7.780114425693596,114.35130943759178,0.18854407810455798,0.5623382705371895,0.7010803802938635,0.07989738026719642,243,243,0.92,0.8775510204081632,0.8775510204081632
synth_kzt_basis2010_D2,2025-01-01,KZT,52.0,0.34615384615384615,1.7451923076923075,40.6919826238405,30.119076088767397,118.4514404275744,0.15156228148227305,0.47177011823157794,0.6791774054982818,0.05274164275043802,242,242,1.0429799426934099,0.9387755102040817,0.9387755102040817
synth_kzt_basis2010_halyk_D2,2023-01-01,KZT,47.0,0.48936170212765956,1.3306239540999283,48.09952046053789,31.3764248469461,73.45635948481413,0.19997953327039344,0.5870947165970472,0.7400308437981935,0.09906483612516917,242,242,0.9454022988505747,0.8541666666666666,0.8541666666666666
synth_kzt_basis2010_halyk_D2,2024-01-01,KZT,45.0,0.4444444444444444,1.6615384615384614,38.38617077035604,34.249326857780915,91.88658317282449,0.19571804553053,0.5770573308799137,0.6569576490924807,0.09241034442108063,243,243,0.9,0.8571428571428571,0.8571428571428571
synth_kzt_basis2010_halyk_D2,2025-01-01,KZT,50.0,0.36,1.815,46.127886607688815,32.628971072071984,114.1846141863668,0.15071872377971873,0.4686530342062088,0.6810030068728523,0.05480085409754723,242,242,1.002865329512894,0.9387755102040817,0.9387755102040817
