config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,eligible_count,baseline_hits,baseline_hit_rate,signal_count,signal_hits,hit_rate,lift,expected_signal_hits_cell_standardized,signal_weighted_baseline_hit_rate,cell_standardized_lift,mean_signals_per_week,min_fold_lift,folds_lift_ge_1,active_fold_count,fold_count,min_corridor_lift,corridors_lift_ge_1,active_corridor_count,corridor_count,positive_fold_corridor_cells,active_fold_corridor_cells,fold_corridor_cell_count,signal_symmetric_bps,baseline_symmetric_bps,symmetric_bps_delta,cell_standardized_symmetric_bps_delta,signal_forward_bps,baseline_forward_bps,forward_bps_delta,cell_standardized_forward_bps_delta,signal_regret_bps,baseline_regret_bps,regret_bps_improvement,cell_standardized_regret_bps_improvement,model_brier,prior_year_prevalence_brier,brier_skill_vs_prior_year,exploratory_post_selection
logit_core_vol_calendar,logistic,core_vol_calendar,10,4315,1098,0.2544611819235226,977,255,0.2610030706243603,1.0257087884736928,250.66584574981803,0.2565668840837442,1.017290565602255,1.1012209849689014,0.9006753609687936,2,4,4,0.9751168485214706,2,5,5,13,20,20,12.533424025937558,4.806976454501681,7.726447571435877,7.667770280156907,30.430086920023875,19.885644341882372,10.544442578141503,9.41587176732229,170.75733732913378,181.56445938533022,10.807122056196448,9.713394774251782,0.23111226331627216,0.195670287988233,-0.18113110422861212,True
logit_full,logistic,full,10,4315,1098,0.2544611819235226,835,228,0.27305389221556886,1.0730669807925135,209.4477959345361,0.25083568375393545,1.0885767452585775,0.9311637920608742,0.973305954825462,3,4,4,0.970466886789613,4,5,5,15,20,20,14.309211308284995,4.806976454501681,9.502234853783314,9.472175001712397,30.888974943900415,19.885644341882372,11.003330602018043,12.845156685247169,175.14203403397616,181.56445938533022,6.422425351354065,9.602064704367024,0.2246040088524334,0.195670287988233,-0.14786977196016804,True
weekly_first,weekly_first,none,10,4315,1098,0.2544611819235226,905,210,0.23204419889502761,0.9119041149654319,230.02054475910572,0.2541663478001168,0.9129619279005157,1.019297003637479,0.7652027027027027,1,4,4,0.8634291390461654,0,5,5,5,20,20,-3.492671883057309,4.806976454501681,-8.29964833755899,-8.292355159616394,9.312289436178661,19.885644341882372,-10.573354905703711,-10.369405760178436,190.1752752264022,181.56445938533022,-8.610815841071968,-8.468505064812888,,,,True
down3,down3,none,20,4115,817,0.1985419198055893,291,59,0.2027491408934708,1.021190593361851,55.618706352064436,0.19112957509300493,1.060794180046765,0.3455383219617122,0.8436701509872241,2,4,4,0.8542527840328998,2,5,5,9,20,20,89.63578494985406,10.627824986434055,79.00795996342,78.73481192493125,19.04948077696275,39.02934829036931,-19.979867513406564,-10.965110460662057,305.7763407806871,278.08277233675443,-27.69356844393269,-20.208416707090862,,,,True
hgb_core_vol,hist_gradient_boosting,core_vol,20,4115,817,0.1985419198055893,858,178,0.20745920745920746,1.0449138784512102,174.50990202801034,0.20339149420514027,1.019999426573682,1.0108478925603748,0.973756906077348,1,4,4,0.9457955699489125,2,5,5,11,20,20,19.28794316601988,10.627824986434055,8.660118179585824,8.652521683678117,47.14787314204194,39.02934829036931,8.118524851672625,2.083154578596684,266.22346372302945,278.08277233675443,11.859308613724977,5.13923725140063,0.18722298415770885,0.16669239383876241,-0.12316452986334325,True
level_pr120,level_score,pr120,20,4115,817,0.1985419198055893,832,157,0.18870192307692307,0.9504386945673665,156.01402859242964,0.18751686128897793,1.006319761219333,0.97445650834521,0.9117337668547385,3,4,4,0.9373412384006669,2,5,5,6,20,20,37.263121642752886,10.627824986434055,26.63529665631883,27.364029053430194,19.836500453537955,39.02934829036931,-19.19284783683136,-6.562494174038584,284.3331430228349,278.08277233675443,-6.250370686080487,0.7381907189761705,,,,True
logit_core10,logistic,core10,20,4115,817,0.1985419198055893,662,116,0.17522658610271905,0.8825671992811369,124.5670675658121,0.18816777577917235,0.9312252609520097,0.7974467424644047,0.804728903383612,2,4,4,0.7335386812550236,2,5,5,9,20,20,22.525412906680973,10.627824986434055,11.897587920246918,11.524183703160277,19.666885284074304,39.02934829036931,-19.36246300629501,-7.1903260451625854,301.92797746995103,278.08277233675443,-23.8452051331966,-17.62067718727849,0.1819102398307657,0.16669239383876241,-0.09129298369020455,True
logit_core_levels,logistic,core_levels,20,4115,817,0.1985419198055893,634,127,0.20031545741324921,1.0089328118182626,114.7600130234669,0.18100948426414337,1.1066572463182816,0.738069044895849,1.0835322195704056,4,4,4,0.9026451319245841,3,5,5,12,20,20,19.659161768355048,10.627824986434055,9.031336781920993,11.050196866701203,42.87535241909302,39.02934829036931,3.846004128723706,22.463430925586252,251.1007757530606,278.08277233675443,26.981996583693842,31.29886655555123,0.18359240575197952,0.16669239383876241,-0.10138442147254834,True
logit_core_vol,logistic,core_vol,20,4115,817,0.1985419198055893,875,181,0.20685714285714285,1.0418814478055605,174.05219335244098,0.1989167924027897,1.0399179494020527,1.0153542679122753,0.9593785402168636,2,4,4,0.8443236246119442,4,5,5,12,20,20,21.717339581960346,10.627824986434055,11.08951459552629,11.927119334102041,54.887435934027714,39.02934829036931,15.8580876436584,15.439498620774579,255.27654933106496,278.08277233675443,22.806223005689475,20.953376527687197,0.19727304186060757,0.16669239383876241,-0.18345556937303975,True
logit_core_vol_calendar,logistic,core_vol_calendar,20,4115,817,0.1985419198055893,946,179,0.18921775898520085,0.9530368154517767,187.05817518536242,0.19773591457226472,0.9569215556744457,1.1183387332547128,0.8691263487643578,1,4,4,0.7841729387251861,2,5,5,9,20,20,19.7812765480928,10.627824986434055,9.153451561658747,9.078837413041368,45.688468332501955,39.02934829036931,6.659120042132642,8.181578721038605,270.474536799384,278.08277233675443,7.608235537370433,7.795427626191383,0.21047124872509934,0.16669239383876241,-0.2626325885551992,True
logit_full,logistic,full,20,4115,817,0.1985419198055893,774,156,0.20155038759689922,1.015152809010086,142.4532281589718,0.18404809839660438,1.0950962783792486,0.9156883130746433,0.8855156037991858,3,4,4,1.0417269655968489,5,5,5,12,20,20,26.650704959909596,10.627824986434055,16.02287997347554,16.462714375198367,35.22936847839965,39.02934829036931,-3.7999798119696635,13.836265385508877,282.32258986020116,278.08277233675443,-4.239817523446732,6.434592799604559,0.19567341291544377,0.16669239383876241,-0.17385927701484682,True
weekly_first,weekly_first,none,20,4115,817,0.1985419198055893,865,154,0.17803468208092485,0.8967107916315861,171.43475687061874,0.1981904703706575,0.8983009210683182,1.0202987030760184,0.7370689655172414,1,4,4,0.8514006397548501,0,5,5,7,20,20,1.0135268704177434,10.627824986434055,-9.614298116016311,-9.65075245702573,27.162159980976572,39.02934829036931,-11.867188309392741,-11.43501505976388,285.9444790674946,278.08277233675443,-7.861706730740195,-7.5673451985625775,,,,True
