config_id,track,block,delta_brier,ci95_low,ci95_high,improved_years,improved_cells,n_blocks
monthly_train24_val1,development_2023_2025,month,0.004610051873620366,-0.005846146711835402,0.016040616775669543,2,6,36
monthly_train24_val1,development_2023_2025,20,0.004610051873620366,-0.006586926973332504,0.01711185846003298,2,6,39
monthly_train24_val1,development_2023_2025,60,0.004610051873620366,-0.006775045024810785,0.01562556481923229,2,6,15
monthly_train24_val1,diagnostic_2026,month,0.04469518742395611,-0.005127169729874249,0.10044865923158695,0,0,8
monthly_train24_val1,diagnostic_2026,20,0.04469518742395611,-0.0029151309471906126,0.1003725195758466,0,0,8
monthly_train24_val1,diagnostic_2026,60,0.04469518742395611,-0.03099798320165405,0.09795662735492049,0,0,3
basis_train_allm,development_2023_2025,month,-0.004925954169339674,-0.01158247441104837,0.0016423225408189947,2,10,36
basis_train_allm,development_2023_2025,20,-0.004925954169339674,-0.011480683454911454,0.0013579917471558771,2,10,39
basis_train_allm,development_2023_2025,60,-0.004925954169339674,-0.012002459760930976,0.0013298453813375554,2,10,15
basis_train_allm,diagnostic_2026,month,0.0017169323371241819,-0.012827129568363722,0.01642068582751421,0,2,8
basis_train_allm,diagnostic_2026,20,0.0017169323371241819,-0.011159007139021031,0.013281401908125897,0,2,8
basis_train_allm,diagnostic_2026,60,0.0017169323371241819,-0.021665323115777648,0.014119595572590776,0,2,3
basis_train_36m,development_2023_2025,month,0.0004665069953570696,-0.0038931131758898727,0.0048545542046870855,1,6,36
basis_train_36m,development_2023_2025,20,0.0004665069953570696,-0.003363940228945696,0.004312134737598902,1,6,39
basis_train_36m,development_2023_2025,60,0.0004665069953570696,-0.003392562509589082,0.004388031440969501,1,6,15
basis_train_36m,diagnostic_2026,month,0.001393477075173966,-0.0032871598582998184,0.006594780587777511,0,2,8
basis_train_36m,diagnostic_2026,20,0.001393477075173966,-0.0048945584936431015,0.008152575823378845,0,2,8
basis_train_36m,diagnostic_2026,60,0.001393477075173966,0.000785666245330871,0.0017444568643997706,0,2,3
monthly_train24_val3,development_2023_2025,month,-0.0022467858194994803,-0.015567440230877912,0.010446749039525905,2,9,36
monthly_train24_val3,development_2023_2025,20,-0.0022467858194994803,-0.014912376425590101,0.009852694565495534,2,9,39
monthly_train24_val3,development_2023_2025,60,-0.0022467858194994803,-0.01577580201408052,0.0126421795429129,2,9,15
monthly_train24_val3,diagnostic_2026,month,0.01039176134501139,-0.01948686266237636,0.035978156888066576,0,0,8
monthly_train24_val3,diagnostic_2026,20,0.01039176134501139,-0.0128620492609873,0.03247702011641071,0,0,8
monthly_train24_val3,diagnostic_2026,60,0.01039176134501139,-0.03534025762123357,0.031234209519360748,0,0,3
basis_train_6m,development_2023_2025,month,0.01691165621020829,0.008917060277317404,0.024702957052834252,1,4,36
basis_train_6m,development_2023_2025,20,0.01691165621020829,0.009912859177867278,0.024138456362204432,1,4,39
basis_train_6m,development_2023_2025,60,0.01691165621020829,0.010039762450744524,0.0228948449742321,1,4,15
basis_train_6m,diagnostic_2026,month,0.037492910878088676,0.014599078271480862,0.06401246519347731,0,0,8
basis_train_6m,diagnostic_2026,20,0.037492910878088676,0.01265389634578937,0.06570676361530177,0,0,8
basis_train_6m,diagnostic_2026,60,0.037492910878088676,0.018356221533576956,0.07800109547182894,0,0,3
objective_utility_median,development_2023_2025,month,0.008376304380952009,0.003109890725400466,0.013750361685205435,1,4,36
objective_utility_median,development_2023_2025,20,0.008376304380952009,0.003020754213084239,0.013576272990952418,1,4,39
objective_utility_median,development_2023_2025,60,0.008376304380952009,0.003064478537345243,0.013385730910736852,1,4,15
objective_utility_median,diagnostic_2026,month,0.005235982493356132,-0.0019159237127016285,0.013017852367884554,0,0,8
objective_utility_median,diagnostic_2026,20,0.005235982493356132,-0.0017208463308416861,0.013187407557207867,0,0,8
objective_utility_median,diagnostic_2026,60,0.005235982493356132,-0.0017627690844354785,0.007404209844362504,0,0,3
long_with_historical_cny,development_2023_2025,month,-0.003136762225188764,-0.008336187324836361,0.0018607633133890078,2,12,36
long_with_historical_cny,development_2023_2025,20,-0.003136762225188764,-0.008007489093977015,0.0016207071166935258,2,12,39
long_with_historical_cny,development_2023_2025,60,-0.003136762225188764,-0.008290059828650217,0.0012888075870309038,2,12,15
long_with_historical_cny,diagnostic_2026,month,0.0026724204351458894,-0.009365951760402468,0.014637365840762546,0,1,8
long_with_historical_cny,diagnostic_2026,20,0.0026724204351458894,-0.008516609466380592,0.01244628985854214,0,1,8
long_with_historical_cny,diagnostic_2026,60,0.0026724204351458894,-0.01586128834395656,0.011559254959273324,0,1,3
capacity_hgb4,development_2023_2025,month,0.006664709122232637,0.004112168565557042,0.009255206035846715,0,1,36
capacity_hgb4,development_2023_2025,20,0.006664709122232637,0.0037045800988205167,0.009651020045321586,0,1,39
capacity_hgb4,development_2023_2025,60,0.006664709122232637,0.004043086622853321,0.008799386418336642,0,1,15
capacity_hgb4,diagnostic_2026,month,0.010688839116334779,-5.6681345223238785e-05,0.02349363055263166,0,0,8
