scenario,period,segment,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
execution_drag_25bps,2023-2025 OOT,occasional,market_only,59670,5216,1532,5750,5750,562703670.9925017,562703670.9925017,912273.215858742,469567.17962945503,383036.036229287,153214414.4917148,9480,495,27000.0,3251322.249347798,1350,67307.14285714286,44.2,0.8865329512893984,0.08741411094352271,0.025674543321602145,0.26643478260869563,675.7579376731422,347.827540466263,16.21232031860866,59.5422577493891,0.45248868778280543,54.48839030246017,0.0
execution_drag_25bps,2023-2025 OOT,occasional,matched_calendar,6700,576,188,5750,5750,562703670.9925017,562703670.9925017,-58432.441719493014,-114038.03315360851,48905.5914341155,19562236.573646203,1172,98,1451.0,-226528.95668064212,1350,67307.14285714286,4.962962962962963,0.09954366974424281,0.08597014925373134,0.028059701492537312,0.03269565217391304,-43.28329016258742,-84.47261715082112,-1.0384229698809209,-29.870020996582706,0.2165671641791045,-33.81029204188688,0.0
execution_drag_25bps,2023-2025 OOT,occasional,matched_random_market,6700,708,231,5750,5750,562703670.9925017,562703670.9925017,205763.25931328547,141138.93060252175,57924.3287107637,23169731.484305482,1379,72,2959.0,352268.187294401,1350,67307.14285714286,4.962962962962963,0.09954366974424281,0.10567164179104478,0.034477611940298504,0.04017391304347826,152.4172291209522,104.54735600186797,3.6566894783245045,88.80692443616088,0.44164179104477613,52.57734138722403,0.0
execution_drag_25bps,2023-2025 OOT,occasional,user_aware,6700,3736,1272,5750,5750,562703670.9925017,562703670.9925017,726043.6926764642,406642.99966446176,312700.69301200245,125080277.204801,7829,403,3042.0,365927.9464863206,1350,67307.14285714286,4.962962962962963,0.09954366974424281,0.5576119402985075,0.18985074626865672,0.22121739130434784,537.8101427233069,301.2170367884902,12.902771567064097,58.04621710964646,0.45402985074626867,54.616111415868744,0.0
execution_drag_25bps,2023-2025 OOT,occasional,weekly_fixed,68400,5945,1645,5750,5750,562703670.9925017,562703670.9925017,-26209.61646365444,-499142.7980843095,404533.18162065506,161813272.64826202,9944,761,18630.0,-275063.9083495474,1350,67307.14285714286,50.666666666666664,1.0162368672397326,0.08691520467836257,0.024049707602339182,0.28608695652173916,-19.414530713818106,-369.7354059883774,-0.46578008665601356,-1.619744538547651,0.2723684210526316,-4.021402168853032,0.0
execution_drag_25bps,2026 diagnostic,frequent,frequency_gate,4992,1010,301,11156,11156,207880384.38956743,207880384.38956743,18394.36631959575,-459.94780092166104,13862.314120517412,5544925.648206965,507,74,2368.0,304425.20988070156,450,14464.285714285716,11.093333333333334,0.3451259259259259,0.20232371794871795,0.06029647435897436,0.02698099677303693,40.876369599101665,-1.0221062242703578,0.8848533917045651,33.173332676776006,0.47435897435897434,60.982614158794384,0.0
execution_drag_25bps,2026 diagnostic,frequent,market_only,15120,2705,733,11156,11156,207880384.38956743,207880384.38956743,52630.095518699694,4280.055052220359,33230.04046647934,13292016.186591733,1209,177,7110.0,923384.7120023633,450,14464.285714285716,33.6,1.0453333333333332,0.1789021164021164,0.048478835978835975,0.0657045536034421,116.95576781933265,9.511233449378576,2.5317489994664912,39.595268904193844,0.47023809523809523,61.07041746047376,0.0
execution_drag_25bps,2026 diagnostic,frequent,matched_calendar,2857,510,158,11156,11156,207880384.38956743,207880384.38956743,2512.8945076735627,-7281.007492310822,6936.901999984386,2774760.7999937544,245,53,1192.0,140112.57760063536,450,14464.285714285716,6.348888888888889,0.19752098765432097,0.1785089254462723,0.05530276513825691,0.014162782359268555,5.584210017052362,-16.180016649579606,0.12088175202545341,9.056256336327149,0.41722086104305217,49.04185425293502,0.0
execution_drag_25bps,2026 diagnostic,frequent,matched_random_market,2857,615,202,11156,11156,207880384.38956743,207880384.38956743,13257.450522897763,1463.2187286851909,8937.231794212572,3574892.717685029,338,50,1333.0,170517.44542308443,450,14464.285714285716,6.348888888888889,0.19752098765432097,0.21526076303815192,0.07070353517675884,0.018106848332735747,29.46100116199503,3.2515971748559798,0.6377441797516271,37.08489056836035,0.4665733286664333,59.684090102584676,0.0
execution_drag_25bps,2026 diagnostic,frequent,user_aware,2857,1922,592,11156,11156,207880384.38956743,207880384.38956743,44133.68395414523,14361.221700449674,26915.462253695554,10766184.901478222,963,135,1327.0,174065.20699986612,450,14464.285714285716,6.348888888888889,0.19752098765432097,0.6727336366818341,0.2072103605180259,0.05306561491574041,98.07485323143383,31.913826000999276,2.1230326316618116,40.99287199506073,0.46447322366118304,60.92586874339031,0.0
