date,client,currency,bank_side,value
2021-10-06,personal,RUB,sell,5.96
2021-10-07,personal,RUB,sell,6.0
2021-10-11,personal,RUB,sell,6.03
2021-10-12,personal,RUB,sell,6.02
2021-10-13,personal,RUB,sell,6.03
2021-10-14,personal,RUB,sell,6.05
2021-10-18,personal,RUB,sell,6.07
2021-10-19,personal,RUB,sell,6.1
2021-10-20,personal,RUB,sell,6.1
2021-10-21,personal,RUB,sell,6.1
2021-10-25,personal,RUB,sell,6.17
2021-10-26,personal,RUB,sell,6.25
2021-10-27,personal,RUB,sell,6.2
2021-10-28,personal,RUB,sell,6.17
2021-10-29,personal,RUB,sell,6.15
2021-11-01,personal,RUB,sell,6.14
2021-11-02,personal,RUB,sell,6.06
2021-11-03,personal,RUB,sell,6.06
2021-11-04,personal,RUB,sell,6.1
2021-11-05,personal,RUB,sell,6.1
2021-11-08,personal,RUB,sell,6.12
2021-11-09,personal,RUB,sell,6.15
2021-11-10,personal,RUB,sell,6.16
2021-11-11,personal,RUB,sell,6.14
2021-11-12,personal,RUB,sell,6.05
2021-11-15,personal,RUB,sell,6.06
2021-11-16,personal,RUB,sell,6.03
2021-11-17,personal,RUB,sell,6.07
2021-11-18,personal,RUB,sell,6.05
2021-11-19,personal,RUB,sell,6.0
2021-11-22,personal,RUB,sell,5.95
2021-11-23,personal,RUB,sell,5.9
2021-11-24,personal,RUB,sell,5.89
2021-11-25,personal,RUB,sell,5.9
2021-11-26,personal,RUB,sell,5.87
2021-11-29,personal,RUB,sell,5.89
2021-11-30,personal,RUB,sell,5.94
2021-12-02,personal,RUB,sell,6.02
2021-12-03,personal,RUB,sell,6.05
2021-12-06,personal,RUB,sell,6.03
2021-12-07,personal,RUB,sell,5.97
2021-12-08,personal,RUB,sell,6.01
2021-12-09,personal,RUB,sell,6.02
2021-12-10,personal,RUB,sell,6.04
2021-12-13,personal,RUB,sell,6.04
2021-12-14,personal,RUB,sell,6.04
2021-12-15,personal,RUB,sell,6.03
2021-12-20,personal,RUB,sell,6.0
2021-12-21,personal,RUB,sell,6.02
2021-12-22,personal,RUB,sell,6.02
2021-12-23,personal,RUB,sell,6.04
2021-12-24,personal,RUB,sell,6.01
2021-12-27,personal,RUB,sell,6.01
2021-12-28,personal,RUB,sell,6.01
2021-12-29,personal,RUB,sell,6.01
2021-12-30,personal,RUB,sell,5.9
2021-12-31,personal,RUB,sell,5.87
2022-01-05,personal,RUB,sell,5.85
2022-01-06,personal,RUB,sell,5.85
2022-01-12,personal,RUB,sell,5.92
2022-01-13,personal,RUB,sell,5.88
2022-01-14,personal,RUB,sell,5.81
2022-01-17,personal,RUB,sell,5.79
2022-01-18,personal,RUB,sell,5.79
2022-01-19,personal,RUB,sell,5.81
2022-01-20,personal,RUB,sell,5.78
2022-01-21,personal,RUB,sell,5.78
2022-01-24,personal,RUB,sell,5.63
2022-01-25,personal,RUB,sell,5.66
2022-01-26,personal,RUB,sell,5.64
2022-01-27,personal,RUB,sell,5.68
2022-01-28,personal,RUB,sell,5.69
2022-01-31,personal,RUB,sell,5.72
2022-02-01,personal,RUB,sell,5.79
2022-02-02,personal,RUB,sell,5.83
2022-02-03,personal,RUB,sell,5.81
2022-02-04,personal,RUB,sell,5.82
2022-02-07,personal,RUB,sell,5.81
2022-02-08,personal,RUB,sell,5.8
2022-02-09,personal,RUB,sell,5.81
2022-02-10,personal,RUB,sell,5.82
2022-02-11,personal,RUB,sell,5.82
2022-02-14,personal,RUB,sell,5.69
2022-02-15,personal,RUB,sell,5.77
2022-02-16,personal,RUB,sell,5.77
2022-02-17,personal,RUB,sell,5.73
2022-02-18,personal,RUB,sell,5.74
2022-02-21,personal,RUB,sell,5.58
2022-02-22,personal,RUB,sell,5.69
2022-02-23,personal,RUB,sell,5.63
2022-02-24,personal,RUB,sell,5.87
2022-02-25,personal,RUB,sell,5.7
2022-02-26,personal,RUB,sell,5.63
2022-02-28,personal,RUB,sell,5.15
2022-03-01,personal,RUB,sell,6.04
2022-03-02,personal,RUB,sell,5.91
2022-03-03,personal,RUB,sell,5.94
2022-03-04,personal,RUB,sell,6.1
2022-03-07,personal,RUB,sell,5.31
2022-03-09,personal,RUB,sell,4.78
2022-03-10,personal,RUB,sell,4.65
2022-03-11,personal,RUB,sell,4.74
2022-03-14,personal,RUB,sell,5.07
2022-03-15,personal,RUB,sell,5.07
2022-03-16,personal,RUB,sell,5.3
2022-03-17,personal,RUB,sell,5.27
2022-03-18,personal,RUB,sell,5.08
2022-03-24,personal,RUB,sell,5.32
2022-03-25,personal,RUB,sell,5.3
2022-03-28,personal,RUB,sell,5.45
2022-03-29,personal,RUB,sell,5.58
2022-03-30,personal,RUB,sell,6.02
2022-03-31,personal,RUB,sell,6.16
2022-04-01,personal,RUB,sell,6.26
2022-04-04,personal,RUB,sell,5.9
2022-04-05,personal,RUB,sell,5.76
2022-04-06,personal,RUB,sell,5.83
2022-04-07,personal,RUB,sell,6.05
2022-04-08,personal,RUB,sell,5.9
2022-04-11,personal,RUB,sell,5.98
2022-04-12,personal,RUB,sell,5.76
2022-04-13,personal,RUB,sell,5.71
2022-04-14,personal,RUB,sell,5.67
2022-04-15,personal,RUB,sell,5.71
2022-04-18,personal,RUB,sell,5.69
2022-04-19,personal,RUB,sell,5.68
2022-04-20,personal,RUB,sell,5.72
2022-04-21,personal,RUB,sell,5.84
2022-04-22,personal,RUB,sell,5.82
2022-04-25,personal,RUB,sell,6.14
2022-04-26,personal,RUB,sell,6.28
2022-04-27,personal,RUB,sell,6.16
2022-04-28,personal,RUB,sell,6.27
2022-04-29,personal,RUB,sell,6.31
2022-05-03,personal,RUB,sell,6.33
2022-05-04,personal,RUB,sell,6.48
2022-05-05,personal,RUB,sell,6.42
2022-05-06,personal,RUB,sell,6.77
2022-05-11,personal,RUB,sell,6.47
2022-05-12,personal,RUB,sell,6.7
2022-05-13,personal,RUB,sell,6.9
2022-05-16,personal,RUB,sell,6.89
2022-05-17,personal,RUB,sell,6.96
2022-05-18,personal,RUB,sell,6.9
2022-05-19,personal,RUB,sell,6.79
2022-05-20,personal,RUB,sell,7.38
2022-05-23,personal,RUB,sell,7.3
2022-05-24,personal,RUB,sell,7.37
2022-05-25,personal,RUB,sell,7.38
2022-05-26,personal,RUB,sell,6.88
2022-05-27,personal,RUB,sell,6.66
2022-05-30,personal,RUB,sell,6.83
2022-05-31,personal,RUB,sell,6.96
2022-06-01,personal,RUB,sell,7.04
2022-06-02,personal,RUB,sell,7.18
2022-06-03,personal,RUB,sell,7.14
2022-06-06,personal,RUB,sell,7.17
2022-06-07,personal,RUB,sell,7.16
2022-06-08,personal,RUB,sell,7.21
2022-06-09,personal,RUB,sell,7.55
2022-06-10,personal,RUB,sell,7.43
2022-06-13,personal,RUB,sell,7.57
2022-06-14,personal,RUB,sell,7.7
2022-06-15,personal,RUB,sell,7.81
2022-06-16,personal,RUB,sell,7.84
2022-06-17,personal,RUB,sell,7.92
2022-06-20,personal,RUB,sell,8.08
2022-06-21,personal,RUB,sell,8.09
2022-06-22,personal,RUB,sell,8.63
2022-06-23,personal,RUB,sell,8.85
2022-06-24,personal,RUB,sell,8.85
2022-06-27,personal,RUB,sell,8.78
2022-06-28,personal,RUB,sell,8.72
2022-06-29,personal,RUB,sell,8.86
2022-06-30,personal,RUB,sell,8.98
2022-07-01,personal,RUB,sell,8.89
2022-07-04,personal,RUB,sell,8.76
2022-07-05,personal,RUB,sell,8.55
2022-07-07,personal,RUB,sell,7.87
2022-07-08,personal,RUB,sell,7.53
2022-07-11,personal,RUB,sell,7.66
2022-07-12,personal,RUB,sell,7.82
2022-07-13,personal,RUB,sell,8.11
2022-07-14,personal,RUB,sell,8.25
2022-07-15,personal,RUB,sell,8.27
2022-07-18,personal,RUB,sell,8.41
2022-07-19,personal,RUB,sell,8.62
2022-07-20,personal,RUB,sell,8.72
2022-07-21,personal,RUB,sell,8.72
2022-07-22,personal,RUB,sell,8.57
2022-07-25,personal,RUB,sell,8.35
2022-07-26,personal,RUB,sell,8.31
2022-07-27,personal,RUB,sell,8.18
2022-07-28,personal,RUB,sell,8.07
2022-07-29,personal,RUB,sell,7.99
2022-08-01,personal,RUB,sell,7.71
2022-08-02,personal,RUB,sell,7.91
2022-08-03,personal,RUB,sell,7.92
2022-08-04,personal,RUB,sell,7.99
2022-08-05,personal,RUB,sell,7.94
2022-08-08,personal,RUB,sell,7.95
2022-08-09,personal,RUB,sell,7.97
2022-08-10,personal,RUB,sell,8.04
2022-08-11,personal,RUB,sell,7.91
2022-08-12,personal,RUB,sell,7.89
2022-08-15,personal,RUB,sell,7.9
2022-08-16,personal,RUB,sell,7.79
2022-08-17,personal,RUB,sell,7.85
2022-08-18,personal,RUB,sell,7.91
2022-08-19,personal,RUB,sell,8.02
2022-08-22,personal,RUB,sell,8.04
2022-08-23,personal,RUB,sell,7.82
2022-08-24,personal,RUB,sell,7.8
2022-08-25,personal,RUB,sell,7.83
2022-08-26,personal,RUB,sell,8.02
2022-08-27,personal,RUB,sell,7.87
2022-08-31,personal,RUB,sell,7.98
2022-09-01,personal,RUB,sell,7.84
2022-09-02,personal,RUB,sell,7.89
2022-09-05,personal,RUB,sell,7.91
2022-09-06,personal,RUB,sell,7.86
2022-09-07,personal,RUB,sell,7.83
2022-09-08,personal,RUB,sell,7.86
2022-09-09,personal,RUB,sell,7.86
2022-09-12,personal,RUB,sell,7.81
2022-09-13,personal,RUB,sell,7.87
