config_id,policy,evaluation_scope,year,rows,dates,brier,signals,lift,forward_delta_bps,hit_rate,hits,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,min_year_corridor_coverage,signals_per_corridor_week,regret_bps
kzt_hgb_full33,cadence85_cd2,KZT,2024,243,243,0.1755893683292377,34,2.199095022624434,99.79904840836132,0.5882352941176471,20,0.18952333412307332,0.7161624891961971,0.5317758543224681,51,30,0.5882352941176471,0.5882352941176471,0.6666666666666666,67.46786223456728
kzt_hgb_full33,cadence85_cd2,KZT,2025,242,242,0.1449527304168159,58,1.8254310344827587,56.240892542626796,0.3620689655172414,21,0.14358760925847813,0.7355562714776632,0.4518703520696903,51,44,0.8627450980392157,0.8627450980392157,1.1372549019607843,109.1144814274548
kzt_hgb_full33,fixed_threshold_0.50,KZT,2023,242,242,0.2190092054191532,0,,,,0,0.2118309629264951,0.73261364470882,0.6242826783162185,50,0,0.0,0.0,0.0,
kzt_hgb_full33,fixed_threshold_0.50,KZT,2024,243,243,0.1755893683292377,20,1.8692307692307693,57.35033412895943,0.5,10,0.18952333412307332,0.7161624891961971,0.5317758543224681,51,20,0.39215686274509803,0.39215686274509803,0.39215686274509803,126.43949413719102
kzt_hgb_full33,fixed_threshold_0.50,KZT,2025,242,242,0.1449527304168159,9,1.6805555555555556,78.85354585885295,0.3333333333333333,3,0.14358760925847813,0.7355562714776632,0.4518703520696903,51,9,0.17647058823529413,0.17647058823529413,0.17647058823529413,61.8497181713604
kzt_hgb_full33,legacy,KZT,2023,242,242,0.2190092054191532,53,1.1286834852660588,37.44829562974372,0.41509433962264153,22,0.2118309629264951,0.73261364470882,0.6242826783162185,50,48,0.96,0.96,1.06,82.73761655301115
kzt_hgb_full33,legacy,KZT,2024,243,243,0.1755893683292377,35,1.8158241758241753,56.87617517667354,0.4857142857142857,17,0.18952333412307332,0.7161624891961971,0.5317758543224681,51,34,0.6666666666666666,0.6666666666666666,0.6862745098039216,98.45871502688355
kzt_hgb_full33,legacy,KZT,2025,242,242,0.1449527304168159,47,2.252659574468086,64.21831027510014,0.44680851063829785,21,0.14358760925847813,0.7355562714776632,0.4518703520696903,51,41,0.803921568627451,0.803921568627451,0.9215686274509803,103.38237159117797
kzt_tabm_base15_s2,cadence85_cd2,KZT,2023,242,242,0.22767330183746604,72,0.9818976279650437,22.349810008546214,0.3611111111111111,26,0.22219714192996307,0.7151354923992069,0.6455880580906066,50,49,0.98,0.98,1.44,100.50825944971221
kzt_tabm_base15_s2,cadence85_cd2,KZT,2024,243,243,0.19120958607639932,47,1.6703764320785588,73.83450712389687,0.44680851063829785,21,0.17962868663405945,0.6960242005185826,0.5649655425225197,51,37,0.7254901960784313,0.7254901960784313,0.9215686274509803,75.9200038658552
kzt_tabm_base15_s2,cadence85_cd2,KZT,2025,242,242,0.1521864701692726,57,1.503654970760234,40.13201234078971,0.2982456140350877,17,0.16144141253037836,0.6783719931271478,0.47084442777129015,51,44,0.8627450980392157,0.8627450980392157,1.1176470588235294,113.25225514896543
kzt_tabm_base15_s2,fixed_threshold_0.50,KZT,2023,242,242,0.22767330183746604,0,,,,0,0.22219714192996307,0.7151354923992069,0.6455880580906066,50,0,0.0,0.0,0.0,
kzt_tabm_base15_s2,fixed_threshold_0.50,KZT,2024,243,243,0.19120958607639932,33,1.4727272727272727,35.175098041804986,0.3939393939393939,13,0.17962868663405945,0.6960242005185826,0.5649655425225197,51,32,0.6274509803921569,0.6274509803921569,0.6470588235294118,120.51129179511248
kzt_tabm_base15_s2,fixed_threshold_0.50,KZT,2025,242,242,0.1521864701692726,5,2.0166666666666666,79.19768801504378,0.4,2,0.16144141253037836,0.6783719931271478,0.47084442777129015,51,5,0.09803921568627451,0.09803921568627451,0.09803921568627451,66.55485941682215
kzt_tabm_base15_s2,legacy,KZT,2023,242,242,0.22767330183746604,52,1.3072601555747623,34.386763473205896,0.4807692307692308,25,0.22219714192996307,0.7151354923992069,0.6455880580906066,50,48,0.96,0.96,1.04,91.734933369344
kzt_tabm_base15_s2,legacy,KZT,2024,243,243,0.19120958607639932,48,1.2461538461538462,26.6320707206461,0.3333333333333333,16,0.17962868663405945,0.6960242005185826,0.5649655425225197,51,44,0.8627450980392157,0.8627450980392157,0.9411764705882353,102.19836826417277
kzt_tabm_base15_s2,legacy,KZT,2025,242,242,0.1521864701692726,47,1.7163120567375894,47.873768928427,0.3404255319148936,16,0.16144141253037836,0.6783719931271478,0.47084442777129015,51,42,0.8235294117647058,0.8235294117647058,0.9215686274509803,110.9442360493964
