config_id,mode,scope,rows,dates,brier,signals,lift,forward_delta_bps,cutoff
fusion_2010_120m,normal,KZT,122,122,0.22993973133802176,27,1.1296296296296295,52.76705069281965,2026-03-01
fusion_2010_120m,oxr_delayed,KZT,122,122,0.22844496765369154,27,1.1296296296296295,53.80756104060509,2026-03-01
fusion_2010_180m,bank_delayed,KZT,122,122,0.23790509949988284,29,1.2270114942528734,18.720738787294348,2026-03-01
fusion_2010_180m,both_delayed,KZT,122,122,0.23439247113830855,29,1.2270114942528734,18.720738787294348,2026-03-01
fusion_2010_180m,normal,KZT,122,122,0.22682377403939727,29,1.314655172413793,13.176209808845607,2026-03-01
fusion_2010_180m,oxr_delayed,KZT,122,122,0.22382674308133574,29,1.2270114942528734,11.50585197533334,2026-03-01
fusion_2018_120m,bank_delayed,KZT,122,122,0.24372787312144614,29,1.2270114942528734,12.293952137837795,2026-03-01
fusion_2018_120m,both_delayed,KZT,122,122,0.24240037725101843,29,1.2270114942528734,12.293952137837795,2026-03-01
fusion_2018_120m,normal,KZT,122,122,0.23069027402742495,27,1.1296296296296295,52.76705069281965,2026-03-01
fusion_2018_120m,oxr_delayed,KZT,122,122,0.23035225434163878,28,1.0892857142857142,43.42536876372053,2026-03-01
fusion_premium_2010_120m,bank_delayed,KZT,122,122,0.23965102713155786,30,1.186111111111111,19.1178611607136,2026-03-01
fusion_premium_2010_120m,both_delayed,KZT,122,122,0.23522954905295226,29,1.2270114942528734,18.720738787294348,2026-03-01
fusion_premium_2010_120m,normal,KZT,122,122,0.2270795583976505,29,0.9640804597701148,10.373410667814372,2026-03-01
fusion_premium_2010_120m,oxr_delayed,KZT,122,122,0.2211398206405972,29,1.2270114942528734,21.5810854395949,2026-03-01
