scenario,seed,year,policy,mix,exposure_weeks,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,relevance_rate,timing_bps_all_planned_volume,incremental_volume_rub
no_behavioral_response,4101,2026,weekly_fixed,active_bank_assumption,32.142857142857146,33.0,4.2125,0.0,8.61,8.61,377044.6271763677,377044.6271763677,0.0,-33.0,0.0,0.0,0.0,0.0,10.0,872.3993211885314,0.12765151515151515,0.0,0.0
base,4101,2023,frequency_gate,balanced,49.71428571428571,9.916666666666666,1.7833333333333332,0.5833333333333333,18.583333333333336,18.583333333333336,619392.6786555606,619392.6786555606,560.060685009701,550.1440183430343,0.0,39657.207545711855,2.0166666666666666,0.18333333333333332,5.3999999999999995,868.387082152369,0.17983193277310924,9.042094043238546,0.0
base,4101,2023,market_only,balanced,49.71428571428571,42.599999999999994,5.3,1.4166666666666665,18.583333333333336,18.583333333333336,619392.6786555606,619392.6786555606,648.9991445353818,606.3991445353818,0.0,76080.2986302535,4.516666666666667,0.41666666666666663,22.6,3437.3651438120087,0.12441314553990612,10.47799186041534,0.0
base,4101,2023,matched_calendar,balanced,49.71428571428571,6.433333333333334,0.9666666666666667,0.3333333333333333,18.583333333333336,18.583333333333336,619392.6786555606,619392.6786555606,158.39256228327093,151.95922894993762,0.0,22363.505544115233,1.4666666666666668,0.19999999999999998,1.55,-111.98521361293712,0.15025906735751296,2.557223676377224,0.0
base,4101,2023,matched_random_market,balanced,49.71428571428571,6.433333333333334,0.8166666666666667,0.3,18.583333333333336,18.583333333333336,619392.6786555606,619392.6786555606,293.0414339695,286.6081006361668,0.0,24693.763466663317,0.8833333333333333,0.08333333333333333,3.45,549.3681275115009,0.12694300518134716,4.731109101992761,0.0
base,4101,2023,user_aware,balanced,49.71428571428571,6.433333333333334,3.7666666666666666,1.3333333333333333,18.583333333333336,18.583333333333336,619392.6786555606,619392.6786555606,816.5088636057786,810.0755302724452,0.0,79278.43919036922,4.383333333333333,0.36666666666666664,3.4999999999999996,544.2127582050556,0.5854922279792746,13.182410637756874,0.0
base,4101,2023,weekly_fixed,balanced,49.71428571428571,49.99999999999999,6.666666666666666,1.8666666666666665,18.583333333333336,18.583333333333336,619392.6786555606,619392.6786555606,-59.0869661660133,-109.0869661660133,0.0,86684.93271869671,4.883333333333333,0.9166666666666666,17.0,840.4019984270907,0.13333333333333333,-0.9539500256003364,0.0
base,4101,2024,frequency_gate,balanced,49.99999999999999,11.433333333333332,2.0999999999999996,0.7833333333333333,18.683333333333334,18.683333333333334,609224.8610611225,609224.8610611225,18.186192439348268,6.752859106014942,0.0,33145.49086367077,2.3833333333333333,0.18333333333333335,5.1,465.075906020503,0.18367346938775508,0.298513629395759,0.0
base,4101,2024,market_only,balanced,49.99999999999999,49.599999999999994,6.083333333333333,1.6999999999999997,18.683333333333334,18.683333333333334,609224.8610611225,609224.8610611225,62.52773260597509,12.927732605975137,0.0,74913.23874912302,5.283333333333333,0.4833333333333333,22.0,2123.8878836886806,0.1226478494623656,1.0263489985793897,0.0
base,4101,2024,matched_calendar,balanced,49.99999999999999,7.4,0.8333333333333333,0.26666666666666666,18.683333333333334,18.683333333333334,609224.8610611225,609224.8610611225,-16.05537520911455,-23.45537520911455,0.0,7115.141148990005,0.8333333333333333,0.05,1.95,-270.6472326437977,0.1126126126126126,-0.2635377548636142,0.0
base,4101,2024,matched_random_market,balanced,49.99999999999999,7.4,1.15,0.35,18.683333333333334,18.683333333333334,609224.8610611225,609224.8610611225,35.735006628466635,28.335006628466637,0.0,10502.284308526323,0.8833333333333333,0.11666666666666667,3.1166666666666663,222.69748991521294,0.15540540540540537,0.5865651405989061,0.0
base,4101,2024,user_aware,balanced,49.99999999999999,7.4,4.366666666666667,1.5833333333333333,18.683333333333334,18.683333333333334,609224.8610611225,609224.8610611225,192.74972521719195,185.34972521719197,0.0,80903.43442316132,5.216666666666666,0.3833333333333333,3.5166666666666666,375.0469565423316,0.5900900900900902,3.163851929507087,0.0
base,4101,2024,weekly_fixed,balanced,49.99999999999999,51.0,7.199999999999999,1.8666666666666667,18.683333333333334,18.683333333333334,609224.8610611225,609224.8610611225,221.40068520356553,170.40068520356556,0.0,76571.31368054394,5.199999999999999,0.8833333333333333,14.399999999999999,264.48725235553195,0.1411764705882353,3.634137399086751,0.0
base,4101,2025,frequency_gate,balanced,49.85714285714285,9.95,2.2166666666666663,0.6333333333333333,18.55,18.55,621040.7636845438,621040.7636845438,149.18691083552892,139.23691083552893,0.0,27274.718782507705,1.9333333333333331,0.18333333333333335,3.4166666666666665,345.12757796124436,0.22278056951423783,2.4022080281884373,0.0
base,4101,2025,market_only,balanced,49.85714285714285,40.39999999999999,5.433333333333333,1.5999999999999996,18.55,18.55,621040.7636845438,621040.7636845438,710.6806203276672,670.2806203276672,0.0,78992.69137207766,5.466666666666667,0.3833333333333333,15.399999999999999,1663.907526605528,0.1344884488448845,11.443381205950207,0.0
base,4101,2025,matched_calendar,balanced,49.85714285714285,6.516666666666666,0.8166666666666667,0.3,18.55,18.55,621040.7636845438,621040.7636845438,-51.49368855916818,-58.010355225834836,0.0,15105.78532380631,1.15,0.15,1.45,17.19787892858896,0.12531969309462918,-0.8291515077635754,0.0
base,4101,2025,matched_random_market,balanced,49.85714285714285,6.516666666666666,0.6833333333333333,0.2333333333333333,18.55,18.55,621040.7636845438,621040.7636845438,31.25569867995349,24.739032013286824,0.0,8779.487943239727,0.6333333333333333,0.08333333333333333,2.6999999999999997,303.47684140736794,0.10485933503836319,0.5032793418344718,0.0
base,4101,2025,user_aware,balanced,49.85714285714285,6.516666666666666,4.05,1.3,18.55,18.55,621040.7636845438,621040.7636845438,533.5743790164931,527.0577123498264,0.0,63333.15019420374,4.266666666666667,0.3333333333333333,2.4166666666666665,286.4729924222001,0.6214833759590793,8.591616045473,0.0
base,4101,2025,weekly_fixed,balanced,49.85714285714285,51.0,7.616666666666666,2.3499999999999996,18.55,18.55,621040.7636845438,621040.7636845438,-225.76188730743706,-276.76188730743706,0.0,106132.00643577846,7.316666666666666,1.4333333333333331,10.0,-1716.1423804482838,0.14934640522875817,-3.6352184994753785,0.0
base,4101,2026,frequency_gate,balanced,32.142857142857146,7.966666666666666,1.7166666666666668,0.5166666666666666,12.033333333333331,12.033333333333331,403989.1454036346,403989.1454036346,-28.229889035477626,-36.196555702144295,0.0,24606.283440092477,1.5333333333333332,0.16666666666666666,3.5166666666666666,447.48943972735515,0.2154811715481172,-0.6987784042383742,0.0
base,4101,2026,market_only,balanced,32.142857142857146,33.599999999999994,4.183333333333333,1.1166666666666667,12.033333333333331,12.033333333333331,403989.1454036346,403989.1454036346,155.25030324529325,121.65030324529326,0.0,54312.069892178624,3.3166666666666664,0.21666666666666665,15.8,2051.9660266719184,0.12450396825396826,3.842932539441851,0.0
