scenario,year,segment,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2026,frequent,frequency_gate,234,37,12,515,515,10588092.660586817,10588092.660586817,16.966289777947168,-217.03371022205283,0.0,217550.82507699335,20,2,105.0,14983.59974100805,20,642.8571428571429,11.7,0.364,0.1581196581196581,0.05128205128205128,0.02330097087378641,0.8483144888973584,-10.851685511102641,0.016023933981143358,0.7798770596223955,0.44871794871794873,64.03247752567543,0.0
base,2026,frequent,market_only,672,99,24,515,515,10588092.660586817,10588092.660586817,1600.1996216366888,928.1996216366889,0.0,457074.14384725154,40,2,316.0,41039.32053343837,20,642.8571428571429,33.6,1.0453333333333332,0.14732142857142858,0.03571428571428571,0.04660194174757282,80.00998108183444,46.409981081834445,1.511320001564854,35.009629032340435,0.47023809523809523,61.07041746047376,0.0
base,2026,frequent,matched_calendar,116,25,6,515,515,10588092.660586817,10588092.660586817,308.049116230677,192.049116230677,0.0,93552.39483524955,15,3,46.0,5789.1856004155725,20,642.8571428571429,5.8,0.18044444444444444,0.21551724137931033,0.05172413793103448,0.011650485436893204,15.40245581153385,9.602455811533849,0.2909391956658643,32.92797760796684,0.39655172413793105,49.90677241737563,0.0
base,2026,frequent,matched_random_market,116,22,8,515,515,10588092.660586817,10588092.660586817,1078.0606143070631,962.0606143070631,0.0,193063.17582027713,14,0,61.0,7845.841343591345,20,642.8571428571429,5.8,0.18044444444444444,0.1896551724137931,0.06896551724137931,0.015533980582524271,53.903030715353154,48.10303071535316,1.018182073830958,55.839784553768645,0.5258620689655172,67.63656330682194,0.0
base,2026,frequent,user_aware,116,69,19,515,515,10588092.660586817,10588092.660586817,1567.8461153771573,1451.8461153771573,0.0,384832.35014855716,33,2,50.0,8957.346696018165,20,642.8571428571429,5.8,0.18044444444444444,0.5948275862068966,0.16379310344827586,0.036893203883495145,78.39230576885787,72.59230576885787,1.4807635006948112,40.74101656921307,0.43103448275862066,77.2185060001566,0.0
base,2026,frequent,weekly_fixed,660,95,24,515,515,10588092.660586817,10588092.660586817,-1614.0566791775839,-2274.0566791775836,0.0,527685.6226402656,36,13,200.0,17447.986423770628,20,642.8571428571429,33.0,1.0266666666666666,0.14393939393939395,0.03636363636363636,0.04660194174757282,-80.7028339588792,-113.70283395887918,-1.5244073988753033,-30.587467422395935,0.30303030303030304,26.436343066319132,0.0
base,2026,monthly,frequency_gate,153,40,11,150,150,7831593.481122604,7831593.481122604,1428.5463668469288,1275.5463668469288,0.0,471147.9662663699,28,3,68.0,8310.354225400883,20,642.8571428571429,7.65,0.238,0.26143790849673204,0.0718954248366013,0.07333333333333333,71.42731834234644,63.77731834234644,1.8240813575044714,30.32054617931388,0.4444444444444444,54.31604068889466,0.0
base,2026,monthly,market_only,672,81,25,150,150,7831593.481122604,7831593.481122604,7845.628093875975,7173.628093875975,0.0,1187185.1471865424,65,3,316.0,41039.32053343837,20,642.8571428571429,33.6,1.0453333333333332,0.12053571428571429,0.03720238095238095,0.16666666666666666,392.2814046937987,358.68140469379875,10.017920507221422,66.08596908804816,0.47023809523809523,61.07041746047376,0.0
base,2026,monthly,matched_calendar,113,11,1,150,150,7831593.481122604,7831593.481122604,0.0,-113.0,0.0,22661.913578284417,1,0,48.0,6270.426087312123,20,642.8571428571429,5.65,0.17577777777777776,0.09734513274336283,0.008849557522123894,0.006666666666666667,0.0,-5.65,0.0,0.0,0.4247787610619469,55.49049634789489,0.0
base,2026,monthly,matched_random_market,113,17,6,150,150,7831593.481122604,7831593.481122604,4804.901205360298,4691.901205360298,0.0,331761.59524601593,17,0,56.0,9120.341671035449,20,642.8571428571429,5.65,0.17577777777777776,0.1504424778761062,0.05309734513274336,0.04,240.24506026801492,234.59506026801492,6.135279131816671,144.82994036115758,0.49557522123893805,80.71098823925176,0.0
base,2026,monthly,user_aware,113,65,24,150,150,7831593.481122604,7831593.481122604,6429.577392742259,6316.577392742259,0.0,1021684.6965016167,64,5,48.0,6456.699445217766,20,642.8571428571429,5.65,0.17577777777777776,0.5752212389380531,0.21238938053097345,0.16,321.47886963711295,315.8288696371129,8.209794607240804,62.931131441607974,0.4247787610619469,57.138933143520056,0.0
base,2026,monthly,weekly_fixed,660,91,23,150,150,7831593.481122604,7831593.481122604,19276.737419862544,18616.737419862544,0.0,1706347.1142649555,77,5,200.0,17447.986423770628,20,642.8571428571429,33.0,1.0266666666666666,0.13787878787878788,0.03484848484848485,0.15333333333333332,963.8368709931271,930.8368709931271,24.614067962449145,112.97078571358794,0.30303030303030304,26.436343066319132,0.0
base,2026,occasional,frequency_gate,91,26,8,57,57,5819662.582508655,5819662.582508655,-3139.305998753534,-3230.305998753534,0.0,787678.2150621857,44,5,38.0,3555.412417232374,20,642.8571428571429,4.55,0.14155555555555555,0.2857142857142857,0.08791208791208792,0.14035087719298245,-156.9652999376767,-161.5152999376767,-5.394309299286364,-39.85518373776139,0.4175824175824176,39.07046612343268,0.0
base,2026,occasional,market_only,672,71,18,57,57,5819662.582508655,5819662.582508655,-130.80952079506756,-802.8095207950676,0.0,1614464.9024969235,94,8,316.0,41039.32053343837,20,642.8571428571429,33.6,1.0453333333333332,0.1056547619047619,0.026785714285714284,0.3157894736842105,-6.540476039753377,-40.14047603975338,-0.22477165804805146,-0.810234527816357,0.47023809523809523,61.07041746047376,0.0
base,2026,occasional,matched_calendar,79,11,2,57,57,5819662.582508655,5819662.582508655,-304.3429674937241,-383.3429674937241,0.0,116153.4553351989,8,2,33.0,4282.592069730652,20,642.8571428571429,3.95,0.12288888888888888,0.13924050632911392,0.02531645569620253,0.03508771929824561,-15.217148374686204,-19.167148374686203,-0.5229563796506779,-26.2018005934858,0.4177215189873418,54.210026199122176,0.0
base,2026,occasional,matched_random_market,79,10,4,57,57,5819662.582508655,5819662.582508655,8612.116027247212,8533.116027247212,0.0,697637.0887234872,20,2,43.0,4565.083488152426,20,642.8571428571429,3.95,0.12288888888888888,0.12658227848101267,0.05063291139240506,0.07017543859649122,430.6058013623606,426.6558013623606,14.798308158159276,123.44693489569728,0.5443037974683544,57.78586693863831,0.0
base,2026,occasional,user_aware,79,52,13,57,57,5819662.582508655,5819662.582508655,14089.623643696128,14010.623643696128,0.0,1428382.696601477,74,6,37.0,3711.9888830293444,20,642.8571428571429,3.95,0.12288888888888888,0.6582278481012658,0.16455696202531644,0.22807017543859648,704.4811821848064,700.5311821848064,24.210378941973953,98.64039712339904,0.46835443037974683,46.98720105100436,0.0
base,2026,occasional,weekly_fixed,660,63,19,57,57,5819662.582508655,5819662.582508655,8860.663618322224,8200.663618322224,0.0,1970391.2597849853,127,7,200.0,17447.986423770628,20,642.8571428571429,33.0,1.0266666666666666,0.09545454545454546,0.02878787878787879,0.3333333333333333,443.0331809161112,410.0331809161112,15.22539063510912,44.96905664963782,0.30303030303030304,26.436343066319132,0.0
no_behavioral_response,2023,frequent,frequency_gate,267,38,0,794,794,16157410.080426559,16157410.080426559,0.0,-267.0,0.0,0.0,0,0,139.0,20012.628239451547,20,994.2857142857143,13.35,0.2685344827586207,0.14232209737827714,0.0,0.0,0.0,-13.35,0.0,,0.5205992509363296,74.95366381817058,0.0
no_behavioral_response,2023,frequent,market_only,852,128,0,794,794,16157410.080426559,16157410.080426559,0.0,-852.0,0.0,0.0,0,0,452.0,68747.30287624018,20,994.2857142857143,42.6,0.8568965517241379,0.15023474178403756,0.0,0.0,0.0,-42.6,0.0,,0.5305164319248826,80.68932262469505,0.0
no_behavioral_response,2023,frequent,matched_calendar,125,21,0,794,794,16157410.080426559,16157410.080426559,0.0,-125.0,0.0,0.0,0,0,26.0,-2126.541587305716,20,994.2857142857143,6.25,0.1257183908045977,0.168,0.0,0.0,0.0,-6.25,0.0,,0.208,-17.01233269844573,0.0
no_behavioral_response,2023,frequent,matched_random_market,125,24,0,794,794,16157410.080426559,16157410.080426559,0.0,-125.0,0.0,0.0,0,0,64.0,9271.438820575377,20,994.2857142857143,6.25,0.1257183908045977,0.192,0.0,0.0,0.0,-6.25,0.0,,0.512,74.17151056460301,0.0
no_behavioral_response,2023,frequent,user_aware,125,83,0,794,794,16157410.080426559,16157410.080426559,0.0,-125.0,0.0,0.0,0,0,66.0,8306.316125003406,20,994.2857142857143,6.25,0.1257183908045977,0.664,0.0,0.0,0.0,-6.25,0.0,,0.528,66.45052900002725,0.0
no_behavioral_response,2023,frequent,weekly_fixed,1000,165,0,794,794,16157410.080426559,16157410.080426559,0.0,-1000.0,0.0,0.0,0,0,340.0,16808.039968541816,20,994.2857142857143,50.0,1.0057471264367817,0.165,0.0,0.0,0.0,-50.0,0.0,,0.34,16.808039968541816,0.0
no_behavioral_response,2023,monthly,frequency_gate,210,43,0,231,231,12636475.068289079,12636475.068289079,0.0,-210.0,0.0,0.0,0,0,105.0,15652.819362803271,20,994.2857142857143,10.5,0.21120689655172412,0.20476190476190476,0.0,0.0,0.0,-10.5,0.0,,0.5,74.53723506096796,0.0
no_behavioral_response,2023,monthly,market_only,852,96,0,231,231,12636475.068289079,12636475.068289079,0.0,-852.0,0.0,0.0,0,0,452.0,68747.30287624018,20,994.2857142857143,42.6,0.8568965517241379,0.11267605633802817,0.0,0.0,0.0,-42.6,0.0,,0.5305164319248826,80.68932262469505,0.0
no_behavioral_response,2023,monthly,matched_calendar,142,22,0,231,231,12636475.068289079,12636475.068289079,0.0,-142.0,0.0,0.0,0,0,40.0,-1478.756887038576,20,994.2857142857143,7.1,0.14281609195402298,0.15492957746478872,0.0,0.0,0.0,-7.1,0.0,,0.28169014084507044,-10.41378089463786,0.0
