effective_date,available_at,symbol,normalized_value,normalized_unit
2020-12-05,2020-12-05 00:00:00+00:00,USD,74.2529,RUB_per_USD
2020-12-08,2020-12-08 00:00:00+00:00,CNY,11.3566,RUB_per_CNY
2020-12-08,2020-12-08 00:00:00+00:00,KZT,0.1759949999999999,RUB_per_KZT
2020-12-08,2020-12-08 00:00:00+00:00,USD,74.2506,RUB_per_USD
2020-12-09,2020-12-09 00:00:00+00:00,CNY,11.2752,RUB_per_CNY
2020-12-09,2020-12-09 00:00:00+00:00,KZT,0.1749309999999999,RUB_per_KZT
2020-12-09,2020-12-09 00:00:00+00:00,USD,73.6618,RUB_per_USD
2020-12-10,2020-12-10 00:00:00+00:00,CNY,11.2126,RUB_per_CNY
2020-12-10,2020-12-10 00:00:00+00:00,KZT,0.174521,RUB_per_KZT
2020-12-10,2020-12-10 00:00:00+00:00,USD,73.3057,RUB_per_USD
2020-12-11,2020-12-11 00:00:00+00:00,CNY,11.2578,RUB_per_CNY
2020-12-11,2020-12-11 00:00:00+00:00,KZT,0.175322,RUB_per_KZT
2020-12-11,2020-12-11 00:00:00+00:00,USD,73.7124,RUB_per_USD
2020-12-12,2020-12-12 00:00:00+00:00,CNY,11.1778,RUB_per_CNY
2020-12-12,2020-12-12 00:00:00+00:00,KZT,0.174472,RUB_per_KZT
2020-12-12,2020-12-12 00:00:00+00:00,USD,73.1195,RUB_per_USD
2020-12-15,2020-12-15 00:00:00+00:00,CNY,11.1557,RUB_per_CNY
2020-12-15,2020-12-15 00:00:00+00:00,KZT,0.174209,RUB_per_KZT
2020-12-15,2020-12-15 00:00:00+00:00,USD,72.9272,RUB_per_USD
2020-12-16,2020-12-16 00:00:00+00:00,CNY,11.2219,RUB_per_CNY
2020-12-16,2020-12-16 00:00:00+00:00,KZT,0.174832,RUB_per_KZT
2020-12-16,2020-12-16 00:00:00+00:00,USD,73.4453,RUB_per_USD
2020-12-17,2020-12-17 00:00:00+00:00,CNY,11.231,RUB_per_CNY
2020-12-17,2020-12-17 00:00:00+00:00,KZT,0.174918,RUB_per_KZT
2020-12-17,2020-12-17 00:00:00+00:00,USD,73.4201,RUB_per_USD
2020-12-18,2020-12-18 00:00:00+00:00,CNY,11.1693,RUB_per_CNY
2020-12-18,2020-12-18 00:00:00+00:00,KZT,0.173865,RUB_per_KZT
2020-12-18,2020-12-18 00:00:00+00:00,USD,72.9781,RUB_per_USD
2020-12-19,2020-12-19 00:00:00+00:00,CNY,11.2069,RUB_per_CNY
2020-12-19,2020-12-19 00:00:00+00:00,KZT,0.174669,RUB_per_KZT
2020-12-19,2020-12-19 00:00:00+00:00,USD,73.3155,RUB_per_USD
2020-12-22,2020-12-22 00:00:00+00:00,CNY,11.4015,RUB_per_CNY
2020-12-22,2020-12-22 00:00:00+00:00,KZT,0.1776259999999999,RUB_per_KZT
2020-12-22,2020-12-22 00:00:00+00:00,USD,74.6721,RUB_per_USD
2020-12-23,2020-12-23 00:00:00+00:00,CNY,11.5075,RUB_per_CNY
2020-12-23,2020-12-23 00:00:00+00:00,KZT,0.179089,RUB_per_KZT
2020-12-23,2020-12-23 00:00:00+00:00,USD,75.3498,RUB_per_USD
2020-12-24,2020-12-24 00:00:00+00:00,CNY,11.541,RUB_per_CNY
2020-12-24,2020-12-24 00:00:00+00:00,KZT,0.179088,RUB_per_KZT
2020-12-24,2020-12-24 00:00:00+00:00,USD,75.4571,RUB_per_USD
2020-12-25,2020-12-25 00:00:00+00:00,CNY,11.4582,RUB_per_CNY
2020-12-25,2020-12-25 00:00:00+00:00,KZT,0.178341,RUB_per_KZT
2020-12-25,2020-12-25 00:00:00+00:00,USD,74.8392,RUB_per_USD
2020-12-26,2020-12-26 00:00:00+00:00,CNY,11.2973,RUB_per_CNY
