track,scope,config_id,baseline,block,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
development_2023_2025,KZT,oxr_coverage_120m,v3_120m,60,-0.0005427954136270394,-0.0009954945475797252,-0.0001455690323752055,15,2,,,,,,
development_2023_2025,KZT,oxr_full_120m_delay24h,v3_120m,month,-0.0008861779423536498,-0.002733167387794427,0.0008469407947505053,36,2,-0.0378801629270451,-0.18230437238248723,0.11934293753088412,0.9558590272166896,-8.44406697689572,10.000475743871734
development_2023_2025,KZT,oxr_full_120m_delay24h,v3_120m,20,-0.0008861779423536498,-0.0028218814081910127,0.0010952873667225385,39,2,,,,,,
development_2023_2025,KZT,oxr_full_120m_delay24h,v3_120m,60,-0.0008861779423536498,-0.0028811777925316826,0.0011128482785925534,15,2,,,,,,
development_2023_2025,KZT,oxr_full_120m_delay48h,v3_120m,month,-0.0023024886503093278,-0.00433754943629553,-0.00047959472472917605,36,3,-0.06873638701931517,-0.19756921591532622,0.0443215191660785,5.8145570924775605,-1.1352652736288877,14.893582686584413
development_2023_2025,KZT,oxr_full_120m_delay48h,v3_120m,20,-0.0023024886503093278,-0.00425954360974024,-0.00032951839028070733,39,3,,,,,,
development_2023_2025,KZT,oxr_full_120m_delay48h,v3_120m,60,-0.0023024886503093278,-0.004553334085532079,-0.00032922945981569306,15,3,,,,,,
development_2023_2025,KZT,oxr_full_120m_since2020,v3_120m,month,-0.001089030519541271,-0.002944227409913555,0.0007072169893428504,36,1,-0.01109726879084838,-0.10521575924424942,0.0828940324327711,3.975463128694006,-3.7073160305948196,11.854001575879092
development_2023_2025,KZT,oxr_full_120m_since2020,v3_120m,20,-0.001089030519541271,-0.0031928384852438286,0.0009118221588691278,39,1,,,,,,
development_2023_2025,KZT,oxr_full_120m_since2020,v3_120m,60,-0.001089030519541271,-0.0029153998714028673,0.0006441762595485144,15,1,,,,,,
development_2023_2025,KZT,oxr_full_120m_since2022,v3_120m,month,0.001906247852279165,-0.0016555871754619304,0.005994192283607894,36,1,-0.17245477196589798,-0.38828517882255376,0.016544314325035517,-12.840379806324322,-23.563254830787457,-2.8879155303221777
development_2023_2025,KZT,oxr_full_120m_since2022,v3_120m,20,0.001906247852279165,-0.0020426709569551986,0.00628023528950958,39,1,,,,,,
development_2023_2025,KZT,oxr_full_120m_since2022,v3_120m,60,0.001906247852279165,-0.001373075366402541,0.005422998017439847,15,1,,,,,,
development_2023_2025,KZT,oxr_full_24m_delay24h,v3_24m,month,-1.1673254786262607e-05,-0.00215830390656513,0.0021719557401453757,36,2,-0.07744922112329644,-0.24880310038229236,0.11068632609813607,1.8496625925069026,-14.62857118213508,17.201892400719377
development_2023_2025,KZT,oxr_full_24m_delay24h,v3_24m,20,-1.1673254786262607e-05,-0.002283617516836543,0.0021354863107418557,39,2,,,,,,
development_2023_2025,KZT,oxr_full_24m_delay24h,v3_24m,60,-1.1673254786262607e-05,-0.0014872738371175614,0.001416808837292158,15,2,,,,,,
development_2023_2025,KZT,oxr_full_24m_delay48h,v3_24m,month,-0.004870020918433355,-0.007751220231951557,-0.002155715072135243,36,3,-0.09478811835418699,-0.3279625531435927,0.13322029671439523,-7.417434776213263,-20.86218638048029,5.5481026988616255
development_2023_2025,KZT,oxr_full_24m_delay48h,v3_24m,20,-0.004870020918433355,-0.0077146304849618165,-0.0019590229440818075,39,3,,,,,,
development_2023_2025,KZT,oxr_full_24m_delay48h,v3_24m,60,-0.004870020918433355,-0.007044743257352519,-0.0026549350760975443,15,3,,,,,,
development_2023_2025,KZT,oxr_returns_120m_delay24h,v3_120m,month,-0.0004878386350465581,-0.0020321082340671983,0.00101398956640278,36,1,-0.03019329009125782,-0.08837271480099679,0.014790553248157834,-3.2928806450324117,-9.493370862765454,1.4558344332963569
development_2023_2025,KZT,oxr_returns_120m_delay24h,v3_120m,20,-0.0004878386350465581,-0.0020744955795347973,0.0012276561215747658,39,1,,,,,,
development_2023_2025,KZT,oxr_returns_120m_delay24h,v3_120m,60,-0.0004878386350465581,-0.0020529257640335015,0.0010305137742741847,15,1,,,,,,
development_2023_2025,KZT,oxr_returns_120m_delay48h,v3_120m,month,-0.0018615313256895843,-0.003802963997116292,-0.00014847109041057923,36,3,-0.1336598163416889,-0.35872134230668073,0.08655676227094902,-4.241350417052377,-14.742238842632695,6.60669215549848
development_2023_2025,KZT,oxr_returns_120m_delay48h,v3_120m,20,-0.0018615313256895843,-0.0037119410201029404,-3.6013840632268055e-05,39,3,,,,,,
development_2023_2025,KZT,oxr_returns_120m_delay48h,v3_120m,60,-0.0018615313256895843,-0.004016001224963152,-6.236062495243937e-05,15,3,,,,,,
