config_id,fold_test_year,signal_date,corridor,wait_cbr_rows,future_date,counterfactual_official_rate_change_while_waiting_bps,is_fast_slow_confirmation_pair
logit_plus_kazakhstan_official,2023,2023-10-19,KZT,3,2023-10-24,-313.0083691029173,False
logit_plus_kazakhstan_official,2023,2023-10-19,KZT,5,2023-10-26,-408.26326414613476,False
logit_plus_kazakhstan_official,2023,2023-10-25,KZT,1,2023-10-26,21.142731354208966,False
logit_plus_kazakhstan_official,2023,2023-10-25,KZT,2,2023-10-27,65.37353011943247,False
logit_plus_kazakhstan_official,2023,2023-10-25,KZT,3,2023-10-28,19.504553622164966,False
logit_plus_kazakhstan_official,2023,2023-10-25,KZT,5,2023-11-01,-16.484163428707177,False
logit_plus_kazakhstan_official,2023,2023-10-31,KZT,1,2023-11-01,-163.7715369406445,False
logit_plus_kazakhstan_official,2023,2023-10-31,KZT,2,2023-11-02,17.35060323609039,False
logit_plus_kazakhstan_official,2023,2023-10-31,KZT,3,2023-11-03,-3.1271436065050118,False
logit_plus_kazakhstan_official,2023,2023-10-31,KZT,5,2023-11-08,79.18734616471079,False
logit_plus_kazakhstan_official,2023,2023-11-04,KZT,1,2023-11-08,55.147983777636966,False
logit_plus_kazakhstan_official,2023,2023-11-04,KZT,2,2023-11-09,-12.428423351347195,False
logit_plus_kazakhstan_official,2023,2023-11-04,KZT,3,2023-11-10,-90.77277621793556,False
logit_plus_kazakhstan_official,2023,2023-11-04,KZT,5,2023-11-14,-93.69119141784621,False
logit_plus_kazakhstan_official,2023,2023-11-11,KZT,1,2023-11-14,10.21990593618849,False
logit_plus_kazakhstan_official,2023,2023-11-11,KZT,2,2023-11-15,-40.57455192576498,False
logit_plus_kazakhstan_official,2023,2023-11-11,KZT,3,2023-11-16,-189.9072073217234,False
logit_plus_kazakhstan_official,2023,2023-11-11,KZT,5,2023-11-18,-181.92449472479998,False
logit_plus_kazakhstan_official,2023,2023-11-17,KZT,1,2023-11-18,19.51006895979157,False
logit_plus_kazakhstan_official,2023,2023-11-17,KZT,2,2023-11-21,-77.78083343278675,False
